Issue ID,Parent ID,Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Original Estimate (h),Component,Milestone,Labels
J2,EPIC-J,Story,"As an HR manager, I can require acknowledgement of a policy from assigned employees.","Acknowledgement binds to a version, not a document.",,EPIC-J,High,8,23,,M4 Open paid tiers,"p1,m4"
J2-T1,J2,Sub-task,"acknowledgements schema, unique per version and user",,,,High,,5,Database,M4 Open paid tiers,database
J2-T2,J2,Sub-task,Assign acknowledgement targets API,,,,High,,6,Backend,M4 Open paid tiers,backend
J2-T3,J2,Sub-task,"Acknowledgement tracking screen, both views (S17)",,,,High,,12,Frontend,M4 Open paid tiers,frontend
J3,EPIC-J,Story,"As an employee, I can acknowledge a policy and it records the version and timestamp.",,,EPIC-J,High,3,8,,M4 Open paid tiers,"p1,m4"
J3-T1,J3,Sub-task,Acknowledge endpoint,,,,High,,3,Backend,M4 Open paid tiers,backend
J3-T2,J3,Sub-task,Sticky acknowledgement bar and confirmation,,,,High,,5,Frontend,M4 Open paid tiers,frontend
J4,EPIC-J,Story,"As an HR manager, publishing a new version re-triggers acknowledgement.",,,EPIC-J,Medium,3,7,,M4 Open paid tiers,"p2,m4"
J4-T1,J4,Sub-task,Supersede trigger on new approved version,,,,Medium,,4,Database,M4 Open paid tiers,database
J4-T2,J4,Sub-task,Re-trigger behaviour tests,,,,Medium,,3,QA,M4 Open paid tiers,qa
J5,EPIC-J,Story,"As an HR manager, I can export the acknowledgement record to CSV.",One row per user per document version with timestamp.,,EPIC-J,Medium,2,5,,M4 Open paid tiers,"p2,m4"
J5-T1,J5,Sub-task,CSV export endpoint,,,,Medium,,5,Backend,M4 Open paid tiers,backend
EPIC-K,,Epic,K — Billing & plans,"Free, Pro and Team tiers with honest limit enforcement.",Billing & plans,,,21,72,,,epic
K1,EPIC-K,Story,"As a workspace, I start on Free with 3 users and 50 documents.","Free is capped on documents, not features, so AI value is visible before the paywall.",,EPIC-K,High,5,14,,M4 Open paid tiers,"p1,m4"
K1-T1,K1,Sub-task,subscriptions and usage_counters schema,,,,High,,5,Database,M4 Open paid tiers,database
K1-T2,K1,Sub-task,Default plan assignment on workspace creation,,,,High,,3,Backend,M4 Open paid tiers,backend
K1-T3,K1,Sub-task,Usage counting hooks across billable actions,,,,High,,6,Backend,M4 Open paid tiers,backend
K2,EPIC-K,Story,"As an admin, I can upgrade to Pro or Team and manage billing.",,,EPIC-K,High,8,32,,M4 Open paid tiers,"p1,m4"
K2-T1,K2,Sub-task,Payment provider integration and webhooks,,,,High,,14,Backend,M4 Open paid tiers,backend
K2-T2,K2,Sub-task,"Plan change, seat handling and proration",,,,High,,8,Backend,M4 Open paid tiers,backend
K2-T3,K2,Sub-task,Billing and usage screen (S22),,,,High,,10,Frontend,M4 Open paid tiers,frontend
K3,EPIC-K,Story,"As a system, plan limits are enforced with a clear message, not a silent failure.",429 with plan_limit_exceeded and the counter in details.,,EPIC-K,High,5,18,,M4 Open paid tiers,"p1,m4"
K3-T1,K3,Sub-task,Limit enforcement returning 429 across endpoints,,,,High,,8,Backend,M4 Open paid tiers,backend
K3-T2,K3,Sub-task,Approaching-limit notice in the app shell,,,,High,,5,Frontend,M4 Open paid tiers,frontend
K3-T3,K3,Sub-task,Per-tier limit enforcement tests,,,,High,,5,QA,M4 Open paid tiers,qa
K4,EPIC-K,Story,"As an admin, I can see usage against my plan limits.",,,EPIC-K,High,3,8,,M4 Open paid tiers,"p1,m4"
K4-T1,K4,Sub-task,Usage endpoint returning counters against caps,,,,High,,3,Backend,M4 Open paid tiers,backend
K4-T2,K4,Sub-task,Usage-against-caps display,,,,High,,5,Frontend,M4 Open paid tiers,frontend
EPIC-L,,Epic,L — Analytics & operations,"Admin insight, review cadence and pipeline health.",Analytics & operations,,,18,48,,,epic
L1,EPIC-L,Story,"As an admin, I see documents by state, approval throughput and chat volume.",,,EPIC-L,Medium,5,16,,M5 Scale,"p2,m5"
L1-T1,L1,Sub-task,Analytics aggregation queries,,,,Medium,,8,Backend,M5 Scale,backend
L1-T2,L1,Sub-task,Analytics section of insights screen (S20),,,,Medium,,8,Frontend,M5 Scale,frontend
L2,EPIC-L,Story,"As an admin, I can see stale documents past their review date.",,,EPIC-L,Medium,5,12,,M5 Scale,"p2,m5"
L2-T1,L2,Sub-task,review_due_at and workspace review cadence setting,,,,Medium,,4,Backend,M5 Scale,backend
L2-T2,L2,Sub-task,Past-review list and owner dashboard,,,,Medium,,8,Frontend,M5 Scale,frontend
L3,EPIC-L,Story,"As an operator, I'm alerted when an approved document has no current index entry.",Correctness invariant: approved implies indexed.,,EPIC-L,Medium,5,11,,M5 Scale,"p2,m5"
L3-T1,L3,Sub-task,Monitor job comparing approved documents to chunks,,,,Medium,,6,Infra,M5 Scale,infra
L3-T2,L3,Sub-task,Alert routing and runbook,,,,Medium,,5,Infra,M5 Scale,infra
L4,EPIC-L,Story,"As an operator, I can see cost per generated SOP by workspace.",Margin signal. Watch during design-partner phase before pricing decisions.,,EPIC-L,Medium,3,9,,M5 Scale,"p2,m5"
L4-T1,L4,Sub-task,LLM cost logging per workspace and job,,,,Medium,,5,Backend,M5 Scale,backend
L4-T2,L4,Sub-task,Internal cost-per-SOP view,,,,Medium,,4,Backend,M5 Scale,backend
EPIC-M,,Epic,M — Platform & delivery,"Design system, Aura theming, environments, CI/CD and observability. Prerequisites, not overhead.",Platform & delivery,,,28,111,,,epic
M1,EPIC-M,Story,"As a developer, I have design tokens and a component library so screens are consistent and fast to build.",Smaller than v1.0 assumed: PrimeNG supplies the generic controls. Document surfaces stay custom.,,EPIC-M,Highest,5,26,,M0 Foundation,"p0,m0"
M1-T1,M1,Sub-task,"Token system: colour, type, spacing from screen spec",,,,Highest,,8,Design,M0 Foundation,design
M1-T2,M1,Sub-task,"Custom document surfaces: reader, step list, control block, diff view",,,,Highest,,14,Frontend,M0 Foundation,frontend
M1-T3,M1,Sub-task,"State pill component, word always present alongside colour",,,,Highest,,4,Frontend,M0 Foundation,frontend
M2,EPIC-M,Story,"As a developer, CI runs lint, type-check, tests and build on every push.",,,EPIC-M,Highest,5,16,,M0 Foundation,"p0,m0"
M2-T1,M2,Sub-task,"CI: Pint, PHPStan, PHPUnit, ESLint, Angular build",,,,Highest,,8,Infra,M0 Foundation,infra
M2-T2,M2,Sub-task,"CD to staging on merge, production behind a manual gate",,,,Highest,,8,Infra,M0 Foundation,infra
M3,EPIC-M,Story,"As a developer, environments are separated and schema changes ship as versioned migrations.","No manual production SQL, ever.",,EPIC-M,Highest,5,25,,M0 Foundation,"p0,m0"
M3-T1,M3,Sub-task,App Platform spec in infra/do/app.yaml: web plus worker components,,,,Highest,,10,Infra,M0 Foundation,infra
M3-T2,M3,Sub-task,Managed MySQL and Valkey per environment with TLS enforced,,,,Highest,,6,Infra,M0 Foundation,infra
M3-T3,M3,Sub-task,"Laravel migrations as a pre-deploy job, with rollback drill",,,,Highest,,6,Infra,M0 Foundation,infra
M3-T4,M3,Sub-task,FFmpeg in the worker image for frame extraction,,,,Highest,,3,Infra,M0 Foundation,infra
M4,EPIC-M,Story,"As an operator, I can see pipeline health and get alerted before users notice.",,,EPIC-M,High,5,23,,M1 Prove the wedge,"p1,m1"
M4-T1,M4,Sub-task,Sentry SDK wired into Laravel and Angular with release tagging,,,,High,,5,Infra,M1 Prove the wedge,infra
M4-T2,M4,Sub-task,Structured logging per pipeline stage to stdout,,,,High,,5,Infra,M1 Prove the wedge,infra
M4-T3,M4,Sub-task,"Metrics and dashboards: success rate, latency, cost per SOP",,,,High,,8,Infra,M1 Prove the wedge,infra
M4-T4,M4,Sub-task,"Alerts: generation failures, embedding backlog, unindexed approved docs",,,,High,,5,Infra,M1 Prove the wedge,infra
M5,EPIC-M,Story,"As a developer, the PrimeNG Aura preset is configured to the Hub brand without colliding with document state.","Gold and draft amber share a hue family, and Aura paints primary across every control. Left at default this breaks the rule that colour means state.",,EPIC-M,Highest,8,21,,M0 Foundation,"p0,m0"
M5-T1,M5,Sub-task,Override Aura primary palette to navy #1E2761,,,,Highest,,6,Frontend,M0 Foundation,frontend
M5-T2,M5,Sub-task,Map ice #CADCFC to selection and focus; confine gold to brand surfaces,,,,Highest,,5,Design,M0 Foundation,design
M5-T3,M5,Sub-task,Override Aura radius and density toward the controlled-document look,,,,Highest,,6,Frontend,M0 Foundation,frontend
M5-T4,M5,Sub-task,Verify review-blue pill against navy chrome and check AA contrast,,,,Highest,,4,QA,M0 Foundation,qa
